"","Comp","Species","Nha","Vha","Gha","area_ha","DBH","Height","HeightDom"
"1","1","Grevillea robusta",1443,371.77,36.63,2.71,18,19.2,26
"2","10","Eucalyptus spps",750,148.68,15.3032,1.12,15,18.4,29
"3","100","Cupressus lusitanica",1154,171.59,24.5058,2.15,16,13.8,20
"4","101","Juniperus procera ",677,166.75,23.1466,1.83,20,16,19
"5","102","Cupressus lusitanica",1292,127.81,19.7522,2.4,14,12.5,18
"6","103b","Cupressus lusitanica",1000,156.03,22.3301,1.3,17,14.3,18
"7","11","Cupressus lusitanica",792,53.7,8.7705,2.38,11,11.1,16
"8","12","Juniperus procera",66,2.96,0.6363,1.3,10,9.1,13
"9","12","Olea africana",716,23.06,5.7875,1.3,10,8.7,13
"10","15","Grevillea robusta",1353,435.17,40.8361,3,19,20,26
"11","16","Cupressus lusitanica",1390,101.24,16.4581,2.08,12,11.5,16
"12","17","Juniperus procera ",755,191.53,26.3721,0.99,20,16,19
"13","18a","Cupressus lusitanica",966,128.78,18.7752,1.25,15,13.5,17
"14","18a","Olea africana",316,8.53,2.22,1.25,9,8.3,13
"15","18b","Olea africana",1940,22.35,7.136,0.75,6,6.9,12
"16","21a","Cupressus lusitanica",980,130.66,18.7734,0.86,15,13.2,19
"17","22","Cupressus lusitanica",875,170.08,22.8755,1.44,17,14.4,23
"18","23","Cupressus lusitanica",950,135.49,19.5605,0.6,16,13.8,19
"19","24","Juniperus procera ",966,160.3,23.8643,0.56,17,15.1,18
"20","26","Cupressus lusitanica",460,9.15,1.9384,1.11,7,8.3,11
"21","26","Eucalyptus spps",80,1.06,0.2522,1.11,6,9,11
"22","27","Cupressus lusitanica",350,7.54,1.562,0.49,7,8.4,10
"23","28","Cupressus lusitanica",628,109.19,15.1396,1.18,17,14.3,19
"24","29","Cupressus lusitanica",1020,64.69,10.7322,1.15,11,10.9,15
"25","30","Grevillea robusta",1000,439,39.2548,0.77,22,21.8,26
"26","32","Juniperus procera ",657,159.8,22.3269,1.22,20,16.2,19
"27","34","Cupressus lusitanica",835,199.58,26.3028,2.49,19,15.6,21
"28","3a","Grevillea robusta",2700,137.73,20.35,0.92,9,12,18
"29","3b","Grevillea robusta",2155,134.22,17.6903,2.17,9,11.8,28
"30","3c","Grevillea robusta",550,306.04,26.364,0.7,25,23,25
"31","4","Eucalyptus spps",528,364.91,26.1513,1.65,23,24.5,43
"32","41","Juniperus procera ",533,165.15,22.1232,2.24,22,16.5,19
"33","42","Cupressus lusitanica",835,284.78,35.4746,3,22,17,24
"34","44","Grevillea robusta",612,343.17,29.1631,2.14,24,22.3,26
"35","45","Cupressus lusitanica",1109,96.1,15.003,2.07,12,11.8,16
"36","45","Grevillea robusta",118,46.91,4.2522,2.07,21,21.2,26
"37","46","Eucalyptus spps",2009,90.68,14.2356,2.19,9,12.1,23
"38","47","Grevillea robusta",1191,504.49,45.2018,1.85,22,21.4,26
"39","49a","Cupressus lusitanica",1520,153.26,23.3911,2.6,13,12.4,18
"40","49b","Cupressus lusitanica",1150,199.27,27.6155,0.49,17,14.3,21
"41","50","Cupressus lusitanica",1100,219.86,29.8547,1.25,18,14.9,20
"42","51","Juniperus procera ",766,95.2,14.2437,0.74,14,12.8,19
"43","51","Podocarpus falcatus",333,62.42,9.035,0.74,18,14.4,18
"44","52","Podocarpus falcatus",875,134.47,19.9923,2.3,16,13.5,20
"45","54","Juniperus procera ",642,238.43,31.2189,1.25,24,17.1,20
"46","55","Grevillea robusta",1625,499.55,47.2678,0.71,19,19.7,24
"47","56a","Eucalyptus spps",1000,36.65,6.1962,0.58,8,11.5,21
"48","56a","Juniperus procera ",450,102.53,14.4458,0.58,20,15.9,18
"49","56b","Eucalyptus spps",1450,51.65,8.4675,1.26,8,11,25
"50","58","Podocarpus falcatus",1100,120.31,18.5165,0.47,13,11.9,18
"51","59a","Podocarpus falcatus",800,112,17.19,0.22,16,14,17
"52","59b","Cupressus lusitanica",1441,106.29,17.0337,2.04,12,11.3,18
"53","5a","Grevillea robusta",200,82.71,7.51,3.04,22,21.8,23
"54","5b1","Grevillea robusta",900,360.21,32.546,0.48,21,21.1,25
"55","5c","Grevillea robusta",600,28.75,4.168,0.77,9,11,19
"56","6","Cupressus lusitanica",885,149.94,21.013,3.72,17,14.4,20
"57","60","Pinus patula",672,184.11,18.9768,4.78,18,17.7,23
"58","61","Cupressus lusitanica",1000,85.05,13.3175,1.64,12,11.8,19
"59","63a","Eucalyptus spps",57,30.88,2.2321,1.17,19,21,36
"60","63a","Juniperus procera ",728,72.03,11.5433,1.17,13,12.7,17
"61","63a","Podocarpus falcatus",42,21.35,2.7011,1.17,28,17.9,19
"62","64","Cupressus lusitanica",20,11.64,1.365,2.19,29,20.1,21
"63","64","Grevillea robusta",430,352.06,28.263,2.19,28,23.9,28
"64","64","Juniperus procera",30,5.27,0.5737,2.19,16,18.1,19
"65","64","Podocarpus falcatus",40,1.89,0.285,2.19,9,11.6,16
"66","66","Podocarpus falcatus",350,92.35,11.39,0.95,14,11.1,21
"67","67","Eucalyptus spps",966,2074.76,98.8947,0.39,24,22,55
"68","68","Eucalyptus spps",366,327.39,22.6937,1.02,26,27.5,39
"69","68","Podocarpus falcatus",166,158.32,11.803,1.02,30,29.7,34
"70","69","Eucalyptus spps",1463,150.26,17.9001,2.17,11,14.7,32
"71","7","Cupressus lusitanica",500,27.12,4.622,0.62,10,10.5,15
"72","70a","Eucalyptus spps",812,61.18,7.3015,2.39,9,12.4,35
"73","71","Podocarpus falcatus",1266,104.8,17.3773,0.74,12,11.7,18
"74","72","Cupressus lusitanica",733,274.04,33.7947,0.71,23,17.5,23
"75","73","Eucalyptus spps",1462,36.61,6.8735,1.67,7,10.3,19
"76","74","Cupressus lusitanica",1100,99.1,15.6884,1.29,13,12.4,15
"77","76","Grevillea robusta",1466,965.07,79.8507,1.9,26,23,27
"78","77","Eucalyptus spps",2046,111.69,16.6106,2.64,10,12.8,25
"79","78","Eucalyptus spps",885,10.44,2.4929,1.5,6,8.6,15
"80","79","Grevillea robusta",1028,667.32,55.4109,1.6,25,23,27
"81","8","Grevillea robusta",1580,497.46,46.844,1.16,19,19.9,26
"82","80","Cupressus lusitanica",1328,187.3,27.1587,1.51,16,13.8,19
"83","81","Eucalyptus spps",863,81.98,7.8494,1.91,9,11.3,34
"84","82a","Pinus patula",1000,262.98,27.3944,1.91,18,17.9,22
"85","82b","Cupressus lusitanica",1050,192.92,26.4951,1.46,17,14.6,22
"86","83","Eucalyptus spps",820,540.47,40.2228,1.43,23,25.5,40
"87","84","Eucalyptus spps",620,249.74,21.3084,0.35,20,22.7,34
"88","84","Eucalyptus spps",620,249.74,21.3084,1.21,20,22.7,34
"89","84","Juniperus procera ",40,11.82,1.6142,0.35,23,17,17
"90","84","Juniperus procera ",40,11.82,1.6142,1.21,23,17,17
"91","86a","Pinus patula",650,208.83,23.2353,0.42,21,18,22
"92","86b","Cupressus lusitanica",1075,190.9,26.4232,4.64,17,14.4,21
"93","9","Podocarpus falcatus",500,86.32,12.6857,0.59,17,14.2,18
"94","90","Cupressus lusitanica",790,174.73,23.407,6.84,19,15.4,22
"95","92","Pinus patula",715,255.36,25.4514,6.17,21,19.3,23
"96","93","Pinus patula",600,245.23,23.9109,1.85,22,19.3,24
"97","95","Pinus patula",970,24.43,5.0041,1.94,8,8,14
"98","96","Eucalyptus spps",882,47.04,6.5044,3.19,9,11.8,32
"99","97","Cupressus lusitanica",825,145.72,20.0828,0.86,17,14.3,20
"100","98","Eucalyptus spps",3,14.79,0.7664,5.87,55,43.9,44
"101","98","Grevillea robusta",612,476.12,38.4777,5.87,27,23.8,29
"102","99a","Eucalyptus spps",55,65.06,3.7182,1.36,23,23.1,45
"103","99a","Guava",55,2,0.5099,1.36,11,9.3,11
"104","99a","Juniperus procera ",511,75.01,11.2728,1.36,16,14.3,19
"105","99a","Olea africana",766,33.75,7.8288,1.36,11,9.4,15
